time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2014-07-09,15.875,63.625,14.563573,0.13839228,2.4566216e-05,0.34010378,60.848906222316955
2014-07-10,15.875,63.625,14.486389,0.0004951286,2.4423645e-05,0.3315619,60.18306784055851
2014-07-11,15.875,63.625,15.513531,0.0016504287,2.3994919e-05,0.32676715,59.51722945880007
2014-07-12,15.875,63.625,16.014637,0.0,2.3455188e-05,0.32089326,58.851391077041626
2014-07-13,15.875,63.625,16.358376,0.07242486,2.3266286e-05,0.31548727,59.67289761260704
2014-07-14,15.875,63.625,7.0766816,7.579984,2.39384e-05,0.32333043,60.49440414817245
2014-07-15,15.875,63.625,3.0293105,8.848564,2.4211322e-05,0.34827426,61.31591068373786
2014-07-16,15.875,63.625,9.014068,6.303517,2.3652245e-05,0.36669165,62.13741721930327
2014-07-17,15.875,63.625,14.039075,0.22708361,2.2134387e-05,0.3629672,62.958923754868685
2014-07-18,15.875,63.625,9.069366,16.101042,2.4682822e-05,0.3688538,63.7804302904341
2014-07-19,15.875,63.625,13.049558,2.6608539,2.2247426e-05,0.38147333,64.6019368259995
2014-07-20,15.875,63.625,13.071738,0.5083184,2.1660855e-05,0.3707038,65.42344336156492
2014-07-21,15.875,63.625,13.541281,0.1022538,2.1153208e-05,0.36321807,64.13225498464372
2014-07-22,15.875,63.625,13.152429,0.00096129783,2.0967358e-05,0.34871432,62.84106660772253
2014-07-23,15.875,63.625,12.789786,0.057773463,2.0584968e-05,0.33907822,61.54987823080133
2014-07-24,15.875,63.625,12.277743,0.18410635,2.0220907e-05,0.33181083,60.25868985388014
2014-07-25,15.875,63.625,11.877105,0.16016334,1.9822732e-05,0.32584873,58.967501476958944
2014-07-26,15.875,63.625,13.453602,0.10706029,1.9635863e-05,0.3195849,57.676313100037746
2014-07-27,15.875,63.625,12.159458,1.0549585,1.9640956e-05,0.3151113,56.385124723116554
2014-07-28,15.875,63.625,9.611695,6.1628304,2.0027423e-05,0.32164997,55.093936346195356
2014-07-29,15.875,63.625,12.582683,0.31874007,1.890622e-05,0.32396522,54.69622435393156
2014-07-30,15.875,63.625,8.258466,15.954021,2.1907304e-05,0.3322714,54.29851236166777
2014-07-31,15.875,63.625,11.485429,0.5444423,1.856151e-05,0.3436362,53.900800369403974
2014-08-01,15.875,63.625,6.5895324,12.162871,2.058648e-05,0.345797,53.50308837714018
2014-08-02,15.875,63.625,9.913814,0.029379714,1.8130506e-05,0.35051155,53.10537638487639
2014-08-03,15.875,63.625,11.042615,0.36018497,1.7986995e-05,0.34215215,52.70766439261259
2014-08-04,15.875,63.625,13.55032,0.7396806,1.786166e-05,0.33613032,52.3099524003488
2014-08-05,15.875,63.625,8.931186,8.728557,1.8879491e-05,0.3393938,51.912240408085005
2014-08-06,15.875,63.625,7.828531,7.5527864,1.9650062e-05,0.35101253,50.08993808318067
2014-08-07,15.875,63.625,8.293469,2.054543,1.762348e-05,0.34835133,48.267635758276334
2014-08-08,15.875,63.625,9.183557,4.9313817,1.802259e-05,0.3529815,46.445333433372
2014-08-09,15.875,63.625,10.369402,0.11516152,1.6911985e-05,0.34728536,44.623031108467664
2014-08-10,15.875,63.625,9.406148,7.3701177,1.8347857e-05,0.34737197,42.80072878356333
2014-08-11,15.875,63.625,6.8292494,4.2075806,1.7243688e-05,0.35244375,40.978426458658994
